,ID,Team,Kills,Win,Hero
242,883860694,1,0,0,44
243,,0,0,1,9
244,,0,0,1,97
245,,0,0,1,79
246,,0,0,1,31
247,,0,0,1,70
248,4294967295,0,1,1,109
249,4294967295,0,2,1,6
250,4294967295,0,1,1,85
251,4294967295,0,0,1,53
252,4294967295,0,1,1,68
253,4294967295,1,5,0,110
254,4294967295,1,7,0,92
255,4294967295,1,1,0,2
256,4294967295,1,7,0,61
257,4294967295,1,3,0,32
258,899389811,1,0,0,74
259,890997137,1,0,0,53
260,879188187,1,0,0,22
261,4294967295,1,0,0,70
262,878100714,1,0,0,42
263,,0,0,1,25
264,,0,0,1,18
265,,0,0,1,47
266,,0,0,1,37
267,,0,0,1,20
268,4294967295,0,3,0,53
269,4294967295,0,4,0,40
270,4294967295,0,2,0,54
271,4294967295,0,3,0,86
272,4294967295,0,1,0,85
273,4294967295,1,0,1,42
274,4294967295,1,0,1,109
275,4294967295,1,0,1,68
276,4294967295,1,2,1,6
277,4294967295,1,3,1,8
278,4294967295,0,0,0,6
279,4294967295,0,0,0,109
280,4294967295,0,1,0,8
281,4294967295,0,0,0,54
282,4294967295,0,0,0,85
283,4294967295,1,0,1,40
284,4294967295,1,0,1,44
285,4294967295,1,0,1,42
286,4294967295,1,0,1,35
287,4294967295,1,1,1,53
288,4294967295,0,0,1,109
289,4294967295,0,1,1,40
290,4294967295,0,0,1,42
291,4294967295,0,1,1,44
292,4294967295,0,1,1,35
293,4294967295,1,3,0,53
294,4294967295,1,0,0,54
295,4294967295,1,1,0,85
296,4294967295,1,0,0,86
297,4294967295,1,2,0,68
298,169246179,0,0,1,41
299,4294967295,0,0,1,88
300,101374863,0,1,1,75
301,132861606,0,0,1,96
302,167068342,0,0,1,21
303,4294967295,1,2,0,9
304,140740639,1,0,0,114
305,185656714,1,0,0,7
306,4294967295,1,1,0,23
307,137085791,1,0,0,2
308,4294967295,0,0,1,44
309,135003308,0,0,1,54
310,4294967295,0,0,1,68
311,4294967295,0,0,1,109
312,4294967295,0,0,1,8
313,,1,0,0,73
314,,1,0,0,77
315,,1,0,0,30
316,,1,0,0,92
317,,1,0,0,19
318,4294967295,0,0,1,91
319,4294967295,0,0,1,40
320,899988905,0,0,1,61
321,4294967295,0,0,1,38
322,867377873,0,0,1,81
323,,1,0,0,18
324,,1,0,0,26
325,,1,0,0,6
326,,1,0,0,31
327,,1,0,0,36
328,4294967295,0,0,1,42
329,4294967295,0,0,1,85
330,4294967295,0,0,1,8
331,4294967295,0,0,1,44
332,4294967295,0,0,1,53
333,150743563,1,29,0,114
334,4294967295,1,2,0,12
335,4294967295,1,0,0,108
336,4294967295,1,0,0,86
337,4294967295,1,11,0,17
338,4294967295,0,0,0,40
339,153237347,0,14,0,34
340,4294967295,0,6,0,68
341,4294967295,0,18,0,76
342,234715029,0,5,0,114
343,4294967295,1,0,1,86
344,4294967295,1,1,1,85
345,4294967295,1,0,1,8
346,4294967295,1,1,1,6
347,4294967295,1,0,1,109
348,4294967295,0,2,0,11
349,195314978,1,1,1,11
350,4294967295,0,1,0,6
351,4294967295,0,0,0,86
352,4294967295,0,1,0,109
353,4294967295,0,1,0,54
354,4294967295,0,2,0,44
355,4294967295,1,3,1,85
356,4294967295,1,0,1,53
357,4294967295,1,0,1,40
358,4294967295,1,0,1,8
359,899442060,1,3,1,35
360,194143628,0,0,1,85
361,4294967295,0,0,1,44
362,899997352,0,0,1,53
363,894252897,0,0,1,49
364,162668321,0,0,1,37
365,,1,0,0,30
366,,1,0,0,6
367,,1,0,0,18
368,,1,0,0,43
369,,1,0,0,36
370,4294967295,0,1,1,44
371,4294967295,0,0,1,35
372,4294967295,0,0,1,86
373,4294967295,0,2,1,6
374,4294967295,0,0,1,85
375,4294967295,1,0,0,40
376,4294967295,1,2,0,68
377,4294967295,1,0,0,109
378,4294967295,1,4,0,53
379,4294967295,1,0,0,42
380,899389811,1,0,0,74
381,890997137,1,0,0,53
382,879188187,1,0,0,22
383,4294967295,1,0,0,6
384,878100714,1,0,0,42
385,,0,0,1,26
386,,0,0,1,48
387,,0,0,1,43
388,,0,0,1,21
389,,0,0,1,36
390,4294967295,0,0,1,21
391,4294967295,0,0,1,78
392,86835225,0,0,1,110
393,4294967295,0,1,1,40
394,4294967295,0,0,1,32
395,111376807,1,1,0,30
396,65073378,1,0,0,95
397,64008825,1,0,0,1
398,93687907,1,1,0,75
399,4294967295,1,0,0,43
400,4294967295,1,0,0,17
401,4294967295,1,0,0,54
402,4294967295,1,0,0,6
403,896818539,1,0,0,86
404,142269958,1,0,0,35
405,,0,0,1,2
406,,0,0,1,47
407,,0,0,1,20
408,,0,0,1,37
409,,0,0,1,49
410,4294967295,0,1,0,42
411,184244843,0,3,0,52
412,4294967295,0,1,0,20
413,165158189,0,0,0,45
414,147352699,0,4,0,6
415,4294967295,1,0,1,85
416,4294967295,1,0,1,44
417,4294967295,1,0,1,8
418,4294967295,1,0,1,40
419,4294967295,1,0,1,53
420,4294967295,0,9,0,12
421,4294967295,0,2,0,70
422,4294967295,0,1,0,95
423,4294967295,0,2,0,4
424,4294967295,0,4,0,121
425,4294967295,1,1,1,87
426,98962782,1,1,1,53
427,4294967295,1,0,1,7
428,4294967295,1,0,1,44
429,4294967295,1,3,1,56
430,4294967295,0,0,1,11
431,4294967295,1,1,0,11
432,164214716,0,0,1,74
433,249506707,1,2,0,22
434,216789162,0,1,1,11
435,4294967295,1,2,0,14
436,228642575,0,0,1,96
437,136939735,0,0,1,7
438,227391642,0,0,1,74
439,478206274,0,0,1,17
440,898074432,0,0,1,93
441,336636285,1,3,0,63
442,427134618,1,1,0,83
443,332399853,1,1,0,121
444,239642351,1,2,0,39
445,339282454,1,1,0,12
446,4294967295,1,0,0,6
447,135003308,1,0,0,53
448,4294967295,1,0,0,68
449,4294967295,1,0,0,44
450,4294967295,1,0,0,109
451,,0,0,1,11
452,,0,0,1,96
453,,0,0,1,37
454,,0,0,1,50
455,,0,0,1,42
456,4294967295,0,0,1,85
457,4294967295,0,0,1,44
458,4294967295,0,0,1,68
459,4294967295,0,1,1,53
460,4294967295,0,0,1,86
461,4294967295,1,1,0,35
462,4294967295,1,1,0,8
463,4294967295,1,1,0,6
464,4294967295,1,2,0,42
465,4294967295,1,2,0,109
466,4294967295,0,2,0,54
467,4294967295,0,1,0,35
468,4294967295,0,0,0,8
469,4294967295,0,0,0,68
470,4294967295,0,0,0,40
471,4294967295,1,0,1,42
472,4294967295,1,0,1,53
473,4294967295,1,0,1,109
474,4294967295,1,0,1,44
475,4294967295,1,4,1,6
476,4294967295,0,1,1,11
477,4294967295,1,2,0,11
478,194143628,1,0,0,85
479,4294967295,1,0,0,44
480,899997352,1,0,0,42
481,894252897,1,0,0,61
482,162668321,1,0,0,95
483,,0,0,1,49
484,,0,0,1,26
485,,0,0,1,47
486,,0,0,1,30
487,,0,0,1,36
488,4294967295,0,0,1,74
489,4294967295,1,2,0,9
490,196588517,0,7,0,114
491,4294967295,0,5,0,1
492,25228174,0,3,0,27
493,126479402,0,7,0,14
494,354123149,0,6,0,45
495,253169207,1,1,1,86
496,4294967295,1,1,1,43
497,4294967295,1,4,1,7
498,4294967295,1,0,1,32
499,101368441,1,1,1,67
500,117402336,0,2,0,11
501,4294967295,1,0,1,41
502,4294967295,0,0,1,91
503,4294967295,0,0,1,44
504,899988905,0,0,1,61
505,4294967295,0,0,1,38
506,867377873,0,0,1,8
507,,1,0,0,20
508,,1,0,0,6
509,,1,0,0,2
510,,1,0,0,22
511,,1,0,0,37
512,4294967295,0,1,0,102
513,4294967295,0,0,0,32
514,4294967295,0,1,0,7
515,4294967295,0,0,0,34
516,4294967295,0,1,0,54
517,4294967295,1,0,1,23
518,4294967295,1,0,1,40
519,4294967295,1,0,1,35
520,4294967295,1,0,1,104
521,4294967295,1,0,1,6
522,899389811,1,0,0,10
523,890997137,1,0,0,53
524,879188187,1,0,0,22
525,4294967295,1,0,0,47
526,878100714,1,0,0,120
527,,0,0,1,49
528,,0,0,1,101
529,,0,0,1,15
530,,0,0,1,50
531,,0,0,1,23
532,4294967295,0,0,0,17
533,4294967295,0,0,0,67
534,4294967295,0,0,0,59
535,4294967295,0,0,0,94
536,4294967295,0,0,0,48
537,450804448,1,0,1,75
538,4294967295,1,0,1,42
539,4294967295,1,0,1,93
540,4294967295,1,0,1,97
541,4294967295,1,0,1,13
542,313732524,0,0,1,74
543,323824514,1,2,0,23
544,4294967295,0,0,1,40
545,4294967295,0,0,1,68
546,4294967295,0,0,1,6
547,4294967295,0,1,1,85
548,4294967295,0,0,1,53
549,373862646,1,15,0,35
550,4294967295,1,5,0,120
551,161478396,1,3,0,106
552,4294967295,1,4,0,10
553,4294967295,1,1,0,42
554,4294967295,0,0,1,61
555,4294967295,0,0,1,92
556,4294967295,0,2,1,113
557,4294967295,0,0,1,53
558,4294967295,0,0,1,7
559,4294967295,1,1,0,22
560,4294967295,1,1,0,75
561,4294967295,1,4,0,11
562,4294967295,1,3,0,109
563,4294967295,1,0,0,121
564,137466431,0,1,1,59
565,4294967295,1,2,0,11
566,4294967295,0,1,0,46
567,149694921,0,0,0,26
568,4294967295,0,0,0,44
569,221205146,0,0,0,92
570,145443538,0,2,0,99
571,163279323,1,0,1,32
572,4294967295,1,1,1,13
573,4294967295,1,1,1,48
574,4294967295,1,0,1,27
575,4294967295,1,3,1,60
576,197205963,0,0,0,31
577,4294967295,0,1,0,70
578,4294967295,0,3,0,41
579,4294967295,0,2,0,42
580,126450794,0,2,0,121
581,178721540,1,4,1,84
582,89349867,1,2,1,63
583,145701301,1,1,1,100
584,4294967295,1,0,1,17
585,4294967295,1,0,1,67
586,4294967295,0,0,0,53
587,4294967295,0,1,0,44
588,4294967295,0,2,0,68
589,4294967295,0,1,0,35
590,4294967295,0,0,0,8
591,4294967295,1,1,1,6
592,4294967295,1,2,1,42
593,4294967295,1,1,1,54
594,4294967295,1,0,1,109
595,4294967295,1,1,1,86
596,4294967295,0,1,0,35
597,406381200,0,1,0,18
598,4294967295,0,1,0,93
599,4294967295,0,1,0,88
600,4294967295,0,4,0,34
601,4294967295,1,0,1,48
602,4294967295,1,0,1,12
603,4294967295,1,0,1,14
604,4294967295,1,0,1,99
605,4294967295,1,2,1,32
606,179645936,0,0,1,74
607,103947012,1,1,0,11
608,4294967295,0,3,1,58
609,4294967295,0,5,1,14
610,4294967295,0,3,1,74
611,4294967295,0,0,1,6
612,4294967295,0,1,1,93
613,4294967295,1,4,0,99
614,4294967295,1,2,0,76
615,4294967295,1,3,0,75
616,4294967295,1,13,0,82
617,213648581,1,6,0,59
618,182795971,0,2,0,11
619,456741642,1,1,1,39
620,4294967295,0,0,1,6
621,4294967295,0,2,1,86
622,4294967295,0,0,1,35
623,4294967295,0,0,1,42
624,4294967295,0,0,1,8
625,4294967295,1,5,0,27
626,4294967295,1,8,0,120
